epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,11214.1,0.91416,0.57252,0.97716,0.75943,0.75477,0.78082,0.50959,1.05561,0.63098,0.99642,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,11375.2,0.91101,0.56598,0.97369,0.76015,0.75457,0.78115,0.5096,1.05478,0.62969,0.99613,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11534.5,0.91127,0.56998,0.97531,0.76303,0.75089,0.78082,0.50963,1.0543,0.62806,0.99577,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11693.4,0.90049,0.5573,0.97138,0.76875,0.74884,0.7813,0.51033,1.05418,0.62652,0.99617,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11854.6,0.90201,0.5577,0.97233,0.7711,0.74817,0.78144,0.5107,1.05401,0.6249,0.99597,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,12013.9,0.90484,0.55565,0.97108,0.76942,0.7486,0.78321,0.51234,1.05331,0.62352,0.99571,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,12174.9,0.8996,0.55404,0.96857,0.77586,0.74766,0.78388,0.51217,1.05299,0.6224,0.99545,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12334,0.89865,0.54945,0.96842,0.77907,0.74719,0.78306,0.51125,1.05237,0.62123,0.99503,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,12492.9,0.89746,0.55169,0.96972,0.78297,0.74662,0.78339,0.51099,1.05203,0.61979,0.99483,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12652,0.89011,0.54561,0.96632,0.78261,0.74645,0.78315,0.51052,1.05212,0.6183,0.99509,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12812.9,0.89564,0.5465,0.96672,0.78217,0.74621,0.78356,0.5099,1.05192,0.61753,0.9947,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12972.4,0.88329,0.53881,0.96359,0.77512,0.74276,0.78438,0.5108,1.05159,0.61629,0.99453,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,13131.3,0.89311,0.53788,0.965,0.77623,0.74285,0.78443,0.51116,1.05142,0.61532,0.99448,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,13290.7,0.88683,0.53381,0.96488,0.77927,0.74319,0.78492,0.51198,1.05127,0.61453,0.99449,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,13450,0.88096,0.53044,0.96286,0.78173,0.74257,0.78582,0.51283,1.05114,0.61342,0.99451,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,13609.3,0.87687,0.5271,0.96292,0.79369,0.74692,0.78583,0.51207,1.05095,0.61248,0.99434,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13768.5,0.88003,0.5261,0.95942,0.79007,0.74824,0.78676,0.51264,1.0509,0.61144,0.99432,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13927.9,0.87984,0.52209,0.96136,0.79187,0.74794,0.78737,0.51303,1.05065,0.61001,0.99409,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,14083.8,0.85932,0.47717,0.93667,0.79531,0.74822,0.78788,0.51372,1.05048,0.60921,0.9941,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,14224.5,0.85092,0.4659,0.93537,0.79702,0.7477,0.78826,0.51424,1.05028,0.60788,0.99396,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,14365.1,0.83975,0.45984,0.9308,0.79398,0.74818,0.78825,0.51418,1.05001,0.60661,0.99381,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,14505.7,0.84602,0.45827,0.93362,0.79532,0.74802,0.7887,0.51444,1.04974,0.60558,0.99356,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,14646.9,0.83969,0.45247,0.93242,0.79711,0.74732,0.78918,0.51625,1.04912,0.60413,0.99317,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,14801.8,0.83462,0.44826,0.9292,0.79966,0.74673,0.78948,0.51647,1.0491,0.60348,0.99317,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14957.5,0.83474,0.44493,0.92974,0.79948,0.74669,0.78969,0.51665,1.04888,0.60243,0.99312,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,15112.2,0.82797,0.44008,0.92713,0.79745,0.7471,0.78894,0.51611,1.04896,0.60144,0.99314,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,15267.3,0.82222,0.43644,0.9275,0.79492,0.74751,0.78851,0.51572,1.04874,0.60059,0.99312,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,15422,0.82264,0.43309,0.92451,0.79571,0.7473,0.78909,0.51578,1.04845,0.6,0.99319,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
